banana-blueberry	false	#22e8df	#00bd9c	#cccccc	#191323	#22e8df	#495162	#495162	#ff6b7f	#e6c62f	#dc396a	#191323	#262130	#1f1a29
batman	false	#737174	#c8be46	#6f6f6f	#1b1d1e	#737174	#505354	#505354	#e6dc44	#f4fd22	#747271	#1b1d1e	#282a2b	#212324
belafonte-day	true	#426a79	#858162	#45373c	#d5ccba	#426a79	#5e5252	#5e5252	#be100e	#d08b30	#97522c	#d5ccba	#c8bfae	#cec5b4
belafonte-night	false	#426a79	#858162	#968c83	#20111b	#426a79	#5e5252	#5e5252	#be100e	#eaa549	#97522c	#20111b	#2d1f28	#261821
birds-of-paradise	false	#5a86ad	#6ba18a	#e0dbb7	#2a1f1d	#5a86ad	#9b6c4a	#9b6c4a	#be2d26	#e99d2a	#ac80a6	#2a1f1d	#362c2a	#302523
black-metal	false	#888888	#dd9999	#c1c1c1	#000000	#888888	#404040	#404040	#486e6f	#a06666	#999999	#000000	#0f0f0f	#070707
black-metal-(bathory)	false	#888888	#fbcb97	#c1c1c1	#000000	#888888	#404040	#404040	#5f8787	#e78a53	#999999	#000000	#0f0f0f	#070707
black-metal-(burzum)	false	#888888	#ddeecc	#c1c1c1	#000000	#888888	#404040	#404040	#5f8787	#99bbaa	#999999	#000000	#0f0f0f	#070707
black-metal-(dark-funeral)	false	#888888	#d0dfee	#c1c1c1	#000000	#888888	#404040	#404040	#5f8787	#5f81a5	#999999	#000000	#0f0f0f	#070707
black-metal-(gorgoroth)	false	#888888	#9b8d7f	#c1c1c1	#000000	#888888	#404040	#404040	#5f8787	#8c7f70	#999999	#000000	#0f0f0f	#070707
black-metal-(immortal)	false	#888888	#7799bb	#c1c1c1	#000000	#888888	#404040	#404040	#5f8787	#556677	#999999	#000000	#0f0f0f	#070707
black-metal-(khold)	false	#888888	#eceee3	#c1c1c1	#000000	#888888	#404040	#404040	#5f8787	#974b46	#999999	#000000	#0f0f0f	#070707
black-metal-(marduk)	false	#888888	#a5aaa7	#c1c1c1	#000000	#888888	#404040	#404040	#5f8787	#626b67	#999999	#000000	#0f0f0f	#070707
black-metal-(mayhem)	false	#888888	#f3ecd4	#c1c1c1	#000000	#888888	#404040	#404040	#5f8787	#eecc6c	#999999	#000000	#0f0f0f	#070707
black-metal-(nile)	false	#888888	#aa9988	#c1c1c1	#000000	#888888	#404040	#404040	#5f8787	#777755	#999999	#000000	#0f0f0f	#070707
black-metal-(venom)	false	#888888	#f8f7f2	#c1c1c1	#000000	#888888	#404040	#404040	#5f8787	#79241f	#999999	#000000	#0f0f0f	#070707
blazer	false	#7a7ab8	#7ab87a	#d9e6f2	#0d1926	#7a7ab8	#4c4c4c	#4c4c4c	#b87a7a	#b8b87a	#b87ab8	#0d1926	#1b2633	#141f2c
blue-berry-pie	false	#90a5bd	#5cb1b3	#babab9	#1c0c28	#90a5bd	#463c5d	#463c5d	#99246e	#eab9a8	#9d54a7	#1c0c28	#291a34	#22132e
blue-dolphin	false	#82aaff	#b4e88d	#c5f2ff	#006984	#82aaff	#9094a4	#9094a4	#ff8288	#f4d69f	#e9c1ff	#006984	#0f728b	#076d87
blue-matrix	false	#00b0ff	#00ff9c	#00a2ff	#101116	#00b0ff	#686868	#686868	#ff5680	#fffc58	#d57bff	#101116	#1e1f23	#17181c
